document_pair,playback_pair_excluding_skipped,transition,duration,motion_class,automatic_transition,delay
5->6,5->6,apple:magic-move-implied-motion-path,1.0,MM_PLUS_BUILD_MEDIA,false,0.5
18->19,18->19,apple:magic-move-implied-motion-path,1.25,MM_PURE,false,0.5
20->21,20->21,apple:magic-move-implied-motion-path,1.25,MM_PURE,false,0.5
21->22,21->22,apple:magic-move-implied-motion-path,1.0,MM_PURE,false,0.5
26->27,26->27,apple:magic-move-implied-motion-path,1.25,MM_PURE,false,0.5
35->36,35->36,apple:dissolve,1.0,TRANSITION_DISSOLVE,false,0.5
36->37,36->37,apple:dissolve,1.0,TRANSITION_DISSOLVE,false,0.5
52->53,52->53,apple:magic-move-implied-motion-path,0.600000023842,MM_PURE,false,0.5
58->59,58->59,apple:magic-move-implied-motion-path,0.600000023842,MM_PLUS_BUILD_ACTION_MEDIA,false,0.5
67->68,67->68,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_MEDIA,true,1.649999976158
69->70,69->70,apple:magic-move-implied-motion-path,0.600000023842,MM_PLUS_MEDIA,false,0.5
70->71,70->71,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_MEDIA,false,0.5
72->73,72->73,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_BUILD,true,0.0
76->77,76->77,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,true,0.800000011921
78->79,78->79,apple:magic-move-implied-motion-path,1.0,MM_PLUS_BUILD_MEDIA,true,0.0
82->83,82->83,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
83->84,83->84,apple:magic-move-implied-motion-path,0.600000023842,MM_PURE,false,0.5
84->85,84->85,apple:magic-move-implied-motion-path,1.25,MM_PURE,false,0.5
87->88,87->88,apple:magic-move-implied-motion-path,1.0,MM_PURE,false,0.5
88->89,88->89,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
89->90,89->90,apple:magic-move-implied-motion-path,1.0,MM_PLUS_BUILD_ACTION,false,0.5
91->92,91->92,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
95->96,95->96,apple:magic-move-implied-motion-path,0.600000023842,MM_PLUS_MEDIA,true,0.20000000298
105->106,105->106,apple:magic-move-implied-motion-path,1.0,MM_PURE,false,0.5
109->110,109->110,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
110->111,110->111,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
114->115,114->115,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
117->118,117->118,apple:magic-move-implied-motion-path,1.25,MM_PURE,false,0.5
118->119,118->119,apple:magic-move-implied-motion-path,1.25,MM_PURE,false,0.5
124->125,124->125,apple:dissolve,0.600000023842,TRANSITION_DISSOLVE,false,0.5
125->126,125->126,apple:dissolve,0.600000023842,TRANSITION_DISSOLVE,false,0.5
127->128,127->128,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
133->134,133->134,apple:magic-move-implied-motion-path,1.5,MM_PURE,false,0.5
134->135,134->135,apple:magic-move-implied-motion-path,1.25,MM_PURE,false,0.5
141->142,141->142,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_MEDIA,false,0.5
144->145,144->145,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_MEDIA,true,1.5
153->154,153->154,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_BUILD,false,0.5
167->168,166->167,apple:magic-move-implied-motion-path,1.25,MM_PLUS_BUILD,false,0.5
171->172,170->171,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
175->176,174->175,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
176->177,175->176,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_MEDIA,false,0.5
177->178,176->177,apple:magic-move-implied-motion-path,0.300000011921,MM_PURE,false,0.5
178->179,177->178,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
179->180,178->179,apple:magic-move-implied-motion-path,1.0,MM_PLUS_MEDIA,false,0.5
187->188,186->187,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
192->193,191->192,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_MEDIA,false,0.5
197->198,196->197,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
203->204,202->203,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_BUILD,false,0.5
206->207,205->206,apple:magic-move-implied-motion-path,1.0,MM_PLUS_BUILD,false,0.5
207->208,206->207,apple:magic-move-implied-motion-path,1.0,MM_PURE,false,0.5
208->209,207->208,apple:magic-move-implied-motion-path,1.0,MM_PLUS_BUILD_MEDIA,false,0.5
209->210,208->209,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_BUILD_MEDIA,false,0.5
219->220,217->218,apple:magic-move-implied-motion-path,0.5,MM_PURE,true,0.40000000596
220->221,218->219,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
221->222,219->220,apple:push,0.75,TRANSITION_PUSH,false,0.5
222->223,220->221,apple:push,0.75,TRANSITION_PUSH,false,0.5
223->224,221->222,apple:push,0.75,TRANSITION_PUSH,false,0.5
224->225,222->223,apple:push,0.75,TRANSITION_PUSH,false,0.5
225->226,223->224,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_MEDIA,true,12.0
230->231,228->229,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_MEDIA,true,0.40000000596
231->232,229->230,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_MEDIA,false,0.5
234->235,232->233,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_MEDIA,true,0.40000000596
244->245,242->243,apple:magic-move-implied-motion-path,0.5,MM_PURE,false,0.5
245->246,243->244,apple:magic-move-implied-motion-path,3.5,MM_PURE,true,0.0
247->248,245->246,apple:magic-move-implied-motion-path,0.600000023842,MM_PURE,false,0.5
254->255,252->253,apple:magic-move-implied-motion-path,3.0,MM_PURE,true,0.800000011921
264->265,262->263,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
265->266,263->264,apple:magic-move-implied-motion-path,12.0,MM_PURE,false,0.5
280->281,278->279,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
285->286,283->284,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
290->291,288->289,apple:ca-dissolve-and-flip,0.800000011921,TRANSITION_CA_DISSOLVE_AND_FLIP,false,0.5
292->293,290->291,apple:magic-move-implied-motion-path,0.40000000596,MM_PURE,false,0.5
293->294,291->292,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_BUILD,false,0.5
300->301,298->299,apple:magic-move-implied-motion-path,0.5,MM_PLUS_BUILD,false,0.5
304->305,302->303,apple:magic-move-implied-motion-path,0.5,MM_PURE,false,0.5
305->306,303->304,apple:magic-move-implied-motion-path,0.5,MM_PURE,false,0.5
307->308,305->306,apple:magic-move-implied-motion-path,0.40000000596,MM_PURE,true,0.0
310->311,308->309,apple:magic-move-implied-motion-path,0.600000023842,MM_PURE,false,0.5
313->314,311->312,apple:magic-move-implied-motion-path,1.5,MM_PURE,false,0.5
314->315,312->313,apple:magic-move-implied-motion-path,0.600000023842,MM_PURE,false,0.5
315->316,313->314,apple:magic-move-implied-motion-path,0.600000023842,MM_PLUS_BUILD_ACTION,true,0.0
316->317,314->315,apple:magic-move-implied-motion-path,0.600000023842,MM_PURE,false,0.5
317->318,315->316,apple:magic-move-implied-motion-path,0.600000023842,MM_PLUS_BUILD_ACTION,true,0.0
321->322,319->320,apple:magic-move-implied-motion-path,1.25,MM_PLUS_BUILD_ACTION,true,0.0
322->323,320->321,apple:dissolve,1.25,TRANSITION_DISSOLVE,false,0.5
323->324,321->322,apple:dissolve,1.25,TRANSITION_DISSOLVE,false,0.5
326->327,324->325,apple:magic-move-implied-motion-path,1.0,MM_PLUS_MEDIA,true,1.5
328->329,326->327,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_MEDIA,true,6.5
346->347,343->344,apple:dissolve,1.0,TRANSITION_DISSOLVE_PLUS_MEDIA,true,25.0
350->351,347->348,apple:magic-move-implied-motion-path,0.600000023842,MM_PURE,true,0.0
354->355,351->352,apple:magic-move-implied-motion-path,1.25,MM_PURE,false,0.5
360->361,357->358,apple:magic-move-implied-motion-path,0.600000023842,MM_PURE,false,0.5
361->362,358->359,apple:magic-move-implied-motion-path,0.600000023842,MM_PLUS_BUILD,false,0.5
362->363,359->360,apple:magic-move-implied-motion-path,1.25,MM_PLUS_BUILD,false,0.5
364->365,361->362,apple:magic-move-implied-motion-path,0.600000023842,MM_PURE,true,0.0
366->367,363->364,apple:magic-move-implied-motion-path,1.0,MM_PURE,false,0.5
367->368,364->365,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
377->378,374->375,apple:magic-move-implied-motion-path,0.5,MM_PLUS_ACTION_MEDIA,true,0.10000000149
383->384,380->381,apple:magic-move-implied-motion-path,1.0,MM_PURE,false,0.5
384->385,381->382,apple:push,1.0,TRANSITION_PUSH,false,0.5
390->391,387->388,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
391->392,388->389,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_BUILD,false,0.5
397->398,394->395,apple:magic-move-implied-motion-path,0.800000011921,MM_PURE,false,0.5
398->399,395->396,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_BUILD,false,0.5
402->403,399->400,apple:dissolve,0.40000000596,TRANSITION_DISSOLVE,false,0.5
408->409,405->406,apple:magic-move-implied-motion-path,0.5,MM_PURE,false,0.5
409->410,406->407,apple:magic-move-implied-motion-path,0.5,MM_PURE,false,0.5
416->417,413->414,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_BUILD_MEDIA,true,0.40000000596
422->423,419->420,apple:magic-move-implied-motion-path,2.0,MM_PURE,true,0.40000000596
423->424,420->421,apple:magic-move-implied-motion-path,1.5,MM_PURE,false,0.5
426->427,423->424,apple:magic-move-implied-motion-path,0.600000023842,MM_PURE,false,0.5
436->437,433->skipped,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_BUILD,false,0.5
438->439,434->435,apple:magic-move-implied-motion-path,0.600000023842,MM_PURE,false,0.5
439->440,435->436,apple:magic-move-implied-motion-path,1.0,MM_PURE,false,0.5
440->441,436->437,apple:magic-move-implied-motion-path,0.800000011921,MM_PLUS_BUILD,false,0.5
446->447,442->443,apple:magic-move-implied-motion-path,0.40000000596,MM_PLUS_BUILD_ACTION_MEDIA,false,0.5
447->448,443->444,apple:magic-move-implied-motion-path,1.0,MM_PURE,false,0.5
456->457,452->453,apple:magic-move-implied-motion-path,0.40000000596,MM_PLUS_ACTION,true,0.0
459->460,455->456,apple:magic-move-implied-motion-path,0.600000023842,MM_PURE,false,0.5
470->471,466->467,apple:magic-move-implied-motion-path,0.699999988079,MM_PLUS_BUILD,false,0.5
